"usuario","timestamp","cpu","ram","disco","uptime"
1,"2025-10-01 11:55:28.902851",24.6,74,91.8,7873.903601
1,"2025-10-01 11:55:38.975885",3.8,73.3,91.8,7883.976591
1,"2025-10-01 11:55:49.022644",18.7,73.5,91.8,7894.02358
1,"2025-10-01 11:55:59.060916",10.2,73.5,91.8,7904.061642
1,"2025-10-01 11:56:09.103782",19.6,73.7,91.8,7914.105957
1,"2025-10-01 11:56:19.203027",32.7,73.6,91.8,7924.204096
1,"2025-10-01 11:56:29.374817",32.4,73.9,91.8,7934.375115
1,"2025-10-01 11:56:39.422940",23,73.9,91.8,7944.423732
1,"2025-10-01 11:56:49.471200",14.2,73.6,91.8,7954.471923
1,"2025-10-01 11:56:59.514841",6.4,73.6,91.8,7964.51552
1,"2025-10-01 11:57:09.645460",21.5,73.6,91.8,7974.646324
1,"2025-10-01 11:57:19.702806",6.9,73.4,91.8,7984.703125
1,"2025-10-01 11:57:29.774845",25.3,73.3,91.8,7994.776061
1,"2025-10-01 11:57:39.848279",8.4,73.1,91.8,8004.848991
1,"2025-10-01 11:57:49.902928",4.3,73,91.8,8014.903594
1,"2025-10-01 11:57:59.962860",5.9,73,91.8,8024.963694
1,"2025-10-01 11:58:10.038886",28.5,73.1,91.8,8035.040011
1,"2025-10-01 11:58:20.148850",5.8,73.1,91.8,8045.149788
1,"2025-10-01 11:58:30.249515",4.5,73.2,91.8,8055.250307
1,"2025-10-01 11:58:40.321226",7.9,73.1,91.8,8065.322157
1,"2025-10-01 11:58:50.403005",20.1,73.2,91.8,8075.403824
1,"2025-10-01 11:59:00.456875",8.7,73.1,91.8,8085.45784
1,"2025-10-01 11:59:10.512926",12.9,73.1,91.8,8095.514084
1,"2025-10-01 11:59:20.643262",9.4,73,91.8,8105.643581
4,"2025-10-01 11:49:50.046772",68.2,72.1,91.7,7404.046995
4,"2025-10-01 11:50:00.100092",15.1,71.3,91.7,7414.101036
4,"2025-10-01 11:50:10.128451",2.3,71,91.7,7424.129316
4,"2025-10-01 11:50:20.176237",2.4,71.1,91.7,7434.177131
4,"2025-10-01 11:50:30.204520",2.1,71.3,91.7,7444.205462
4,"2025-10-01 11:50:40.233477",1.8,71.2,91.7,7454.234349
4,"2025-10-01 11:50:50.260341",2,71.3,91.7,7464.261199
4,"2025-10-01 11:51:00.288298",2.6,71.2,91.7,7474.289162
4,"2025-10-01 11:51:10.336053",2.1,71.4,91.7,7484.336927
4,"2025-10-01 11:51:20.364374",2.9,71.1,91.7,7494.365232
4,"2025-10-01 11:51:30.392829",3.1,71.2,91.7,7504.393756
4,"2025-10-01 11:51:40.419822",3.9,71.2,91.7,7514.420693
4,"2025-10-01 11:51:50.446705",22.5,71.5,91.7,7524.447727
4,"2025-10-01 11:52:00.475243",3.3,71.4,91.7,7534.476109
4,"2025-10-01 11:52:10.502610",2.6,71.6,91.7,7544.503473
4,"2025-10-01 11:52:20.529621",3.1,71.4,91.7,7554.530474
4,"2025-10-01 11:52:30.557830",2.2,71.4,91.7,7564.558708
4,"2025-10-01 11:52:40.584686",2,71.5,91.7,7574.585636
4,"2025-10-01 11:52:50.612296",2.1,71.4,91.7,7584.613144
4,"2025-10-01 11:53:00.636820",2.1,71.5,91.7,7594.637726
4,"2025-10-01 11:53:10.660645",2.5,71.5,91.7,7604.661566
4,"2025-10-01 11:53:20.686066",2.2,71.4,91.7,7614.686907
4,"2025-10-01 11:53:30.711328",5.7,71.5,91.7,7624.712186
4,"2025-10-01 11:53:40.755568",19.9,72,91.7,7634.756594
4,"2025-10-01 11:53:50.821040",28.6,72.6,91.7,7644.821981
4,"2025-10-01 11:54:00.880064",3.2,72.1,91.7,7654.880915
4,"2025-10-01 11:54:10.905217",12,71.9,91.7,7664.906158
4,"2025-10-01 11:54:20.950141",7.8,72.1,91.7,7674.951234
4,"2025-10-01 11:54:30.995385",7.9,72,91.7,7684.996227
4,"2025-10-01 11:54:41.019425",4,72,91.7,7695.020271
4,"2025-10-01 11:54:51.043720",2.3,71.9,91.7,7705.044479
4,"2025-10-01 11:55:01.066719",7.4,71.9,91.7,7715.067488
4,"2025-10-01 11:55:11.108292",3.8,71.7,91.7,7725.109131
4,"2025-10-01 11:55:21.133077",3.3,71.7,91.7,7735.133989
4,"2025-10-01 11:55:31.156742",13.8,72.2,91.7,7745.15785
4,"2025-10-01 11:55:41.205385",8.5,71.9,91.7,7755.206292
4,"2025-10-01 11:55:51.228322",3.5,72.1,91.7,7765.229179
4,"2025-10-01 11:56:01.252771",4.2,71.9,91.7,7775.253734
4,"2025-10-01 11:56:11.277771",4.2,71.9,91.7,7785.278634
4,"2025-10-01 11:56:21.303139",3.7,71.9,91.7,7795.303995
4,"2025-10-01 11:56:31.328615",3.7,71.8,91.7,7805.329529
4,"2025-10-01 11:56:41.353935",3.5,71.9,91.7,7815.35489
4,"2025-10-01 11:56:51.378938",7.4,72.4,91.7,7825.38009
4,"2025-10-01 11:57:01.406166",3.2,72.1,91.7,7835.407124
4,"2025-10-01 11:57:11.430583",2.6,72,91.7,7845.431431
4,"2025-10-01 11:57:21.455361",3.5,71.9,91.7,7855.456206
4,"2025-10-01 11:57:31.479623",12.3,71.9,91.7,7865.480367
4,"2025-10-01 11:57:41.523754",13.6,72.1,91.7,7875.524748
4,"2025-10-01 11:57:51.557760",25.2,72.5,91.7,7885.558799
4,"2025-10-01 11:58:01.604437",10.2,72.2,91.7,7895.605319
24,"2025-10-01 12:05:36.116301",39.2,62.6,3.7,220783.116505
24,"2025-10-01 12:05:46.154969",8,63.8,3.7,220793.155227
24,"2025-10-01 12:05:56.171520",7.7,64.6,3.7,220803.17173
24,"2025-10-01 12:06:06.189342",7.3,64.6,3.7,220813.18959
24,"2025-10-01 12:06:16.206912",5.1,64.7,3.7,220823.207174
24,"2025-10-01 12:06:26.223781",4.7,64.5,3.7,220833.224152
24,"2025-10-01 12:06:36.242716",7.3,64.1,3.7,220843.243063
24,"2025-10-01 12:06:46.259971",5.4,64.6,3.7,220853.260225
24,"2025-10-01 12:06:56.276089",6.7,63.8,3.7,220863.276383
24,"2025-10-01 12:07:06.296519",5.4,64.9,3.7,220873.296774
24,"2025-10-01 12:07:16.314261",2,64.6,3.7,220883.314503
24,"2025-10-01 12:07:26.330818",2.2,64.6,3.7,220893.331171
24,"2025-10-01 12:07:36.347697",2.3,64.3,3.7,220903.348064
